temperature	q	S
1070.0	7213.46814545623	0.14390491198628777
1080.0	7803.137343582544	0.14493706062002387
1090.0	8438.424405986872	0.14596302727893878
1100.0	9122.653194697503	0.14698287504952703
1110.0	9859.374541086125	0.14799666612390558
1120.0	10652.380690767295	0.1490044618174704
1130.0	11505.720599941269	0.15000632258620394
1140.0	12423.716129324317	0.15100230804361675
1150.0	13410.979184090551	0.1519924769773122
1160.0	14472.429850630704	0.15297688736516613
1170.0	15613.315583419399	0.15395559639111758
1180.0	16839.231497879984	0.1549286604605688
1190.0	18156.14182784626	0.15589613521539425
1200.0	19570.40260904941	0.1568580755485627
1210.0	21088.785653011975	0.15781453561837477
1220.0	22718.503878810272	0.15876556886232293
1230.0	24467.23807338046	0.15971122801057985
1240.0	26343.165154395374	0.16065156509912312
1250.0	28354.988013232927	0.16158663148250338
1260.0	30511.9670192018	0.16251647784626724
1270.0	32823.95326998709	0.1634411542190413
1280.0	35301.423677236875	0.16436070998428848
1290.0	37955.51798033609	0.16527519389174677
1300.0	40798.07778570922	0.16618465406855845
1310.0	43841.68773347088	0.1670891380301014
1320.0	47099.71889790362	0.16798869269053152
1330.0	50586.374533096176	0.1688833643730459
1340.0	54316.73828012829	0.16977319881987693
1350.0	58306.824957448654	0.17065824120202563
1360.0	62573.63406156565	0.17153853612874512
1370.0	67135.20611086705	0.17241412765678157
1380.0	72010.6819713113	0.17328505929938187
1390.0	77220.36530889597	0.17415137403507777
1400.0	82785.7883202219	0.17501311431625236
1410.0	88729.78089913707	0.17587032207749906
1420.0	95076.5434043751	0.17672303874377912
1430.0	101851.72320031187	0.17757130523838613
1440.0	109082.49515044663	0.17841516199072427
1450.0	116797.64625100496	0.17925464894390675
1460.0	125027.66460013953	0.1800898055621817
1470.0	133804.83290660987	0.18092067083819083
1480.0	143163.3267505497	0.18174728330006806
1490.0	153139.31781798624	0.18256968101838286
1500.0	163771.08234019566	0.18338790161293433
1510.0	175099.11497874328	0.1842019822594013
1520.0	187166.2484071979	0.18501195969585243
1530.0	200017.77885104791	0.1858178702291238
1540.0	213701.59785825416	0.1866197497410646
1550.0	228268.33058423063	0.18741763369465908
1560.0	243771.48088678787	0.1882115571400269
1570.0	260267.58353878587	0.18900155472030547
1580.0	277816.36387888994	0.1897876606774204
1590.0	296480.9052339485	0.19056990885774458
1600.0	316327.82446011476	0.19134833271765195
1610.0	337427.4559639474	0.19212296532896808
1620.0	359854.0445793351	0.19289383938432028
1630.0	383685.9476912594	0.19366098720239155
1640.0	409005.8470131056	0.19442444073308005
1650.0	435900.97044050926	0.1951842315625673
1660.0	464463.3244215799	0.19594039091829754
1670.0	494789.9373008263	0.19669294967387124
1680.0	526983.1141121681	0.19744193835385437
1690.0	561150.7033151794	0.19818738713850617
1700.0	597406.3759880958	0.1989293258684274
1710.0	635869.9180111984	0.19966778404913182
1720.0	676667.535794985	0.20040279085554089
1730.0	719932.1761290578	0.2011343751364068
1740.0	765803.8607499283	0.20186256541866218
1750.0	814430.0362489877	0.20258738991170094
1760.0	865965.939965748	0.2033088765115904
1770.0	920574.9825360981	0.20402705280521657
1780.0	978429.1477909	0.20474194607436488
1790.0	1039709.4107265847	0.2054535832997364
1800.0	1104606.1742967318	0.20616199116490258
1810.0	1173319.725801864	0.20686719606019835
1820.0	1246060.7136838299	0.20756922408655643
1830.0	1323050.6455613743	0.20826810105928223
1840.0	1404522.408374609	0.20896385251177285
1850.0	1490720.811538445	0.20965650369917901
1860.0	1581903.1540381988	0.21034607960201254
1870.0	1678339.8164352025	0.21103260492970047
1880.0	1780314.8787856319	0.21171610412408562
1890.0	1888126.7655126227	0.2123966013628763
