CH4	H2O	H2	NH3	Pt
-5.2238633597E-01	-5.9038761811E-01	-9.9967528149E-02	-5.3459978592E-01	-5.0745015390E+01
6.1356637188E-01	7.8413307868E-01	1.2439090335E-01	6.8940738051E-01	8.0280343087E+01
-1.1734055926E-02	-8.4121272565E-02	4.1904754120E-03	-5.7332641929E-02	-1.8667129819E+01
-3.9111667778E-01	-4.5180430507E-01	-8.0954515883E-02	-4.2209365171E-01	-3.6695831040E+01
1.4179818635E-01	2.1466393471E-01	1.8325146752E-02	1.7724288483E-01	2.4583979795E+01
-2.6847480160E-02	-3.1156359872E-02	-5.3575138466E-03	-2.2272363355E-02	-2.7948964635E+00
2.9417588296E-01	2.7927032864E-01	6.4310815609E-02	2.7031050373E-01	1.5828789792E+01
2.4201573531E-02	2.6982112768E-03	9.0579457661E-04	1.5464995007E-02	-4.9156637717E+00
-2.2703279741E-02	1.7392667397E-02	-9.2358433511E-03	-6.7189011157E-03	1.0839159896E+01
3.8585404979E-01	3.6395404096E-01	8.5599165322E-02	3.3544264509E-01	2.8092117317E+01
-9.0928639536E-01	-1.1043246583E+00	-1.7912800237E-01	-9.8867265597E-01	-1.0137996689E+02
5.1598366709E-01	5.9181369285E-01	1.0520265948E-01	5.2067343253E-01	5.4804051518E+01
1.0296879855E-01	1.1829830119E-01	1.3347744574E-02	9.1357291237E-02	1.3999202733E+01
-1.3224653901E-01	-1.0158763962E-01	-2.8967027257E-02	-9.0574609306E-02	-1.4711491448E+00
-2.5242229753E-01	-3.3450007107E-01	-3.6946314035E-02	-2.8659205728E-01	-3.5570689510E+01
1.1879555443E-01	1.2748791012E-01	2.8485839532E-02	1.0840398578E-01	1.2093680394E+01
-1.6766637276E-01	-1.6842933291E-01	-2.6432985759E-02	-1.3348662202E-01	-1.4329839111E+01
4.8685161149E-01	5.3467198651E-01	1.0235217768E-01	5.0286641386E-01	3.8856371568E+01
3.1939833487E-01	3.8871547704E-01	6.5479661118E-02	3.3955242061E-01	3.5827877104E+01
-1.5933497215E-01	-2.3483980928E-01	-3.3844919512E-02	-1.8751862869E-01	-3.0482078346E+01
-3.0089315906E-01	-3.4173289247E-01	-6.1801082518E-02	-3.0833055833E-01	-2.6885584387E+01
-2.9519598646E-01	-3.1783648888E-01	-6.1770254280E-02	-2.8204532999E-01	-3.2246501435E+01
-3.5642024442E-01	-3.9207104482E-01	-7.5933359854E-02	-3.4215485676E-01	-3.4506948570E+01
2.4645795699E-01	2.0799494568E-01	6.4839146824E-02	1.9551502176E-01	1.3207266646E+01
-4.8290801839E-01	-5.7150029026E-01	-9.1880764207E-02	-5.2747778931E-01	-4.8070699599E+01
1.5333951874E-01	1.6269217368E-01	2.6096354799E-02	1.4882679185E-01	1.1236986967E+01
5.5953520714E-01	6.5047967512E-01	1.0521258510E-01	5.6573317174E-01	6.1141180257E+01
7.0880293416E-01	7.7770275852E-01	1.3740455499E-01	7.0225506936E-01	6.2070781651E+01
2.9282531376E-01	3.5002085402E-01	5.9120313793E-02	2.9774773947E-01	3.5001665241E+01
1.4798103755E-01	1.9749255204E-01	2.9013418270E-02	1.8723656492E-01	1.5095294811E+01
3.1223728914E-01	3.2724025758E-01	6.0928019471E-02	2.9001723936E-01	2.6418869624E+01
8.5611583809E-01	9.7469044569E-01	1.7953630695E-01	8.5635135152E-01	8.7433010748E+01
1.4121374209E-01	2.1431735791E-01	3.0722484159E-02	2.0242934226E-01	2.0965455620E+01
-5.0825315901E-01	-6.0045550764E-01	-1.0102088539E-01	-5.4125407866E-01	-5.3812006631E+01
-8.1158727739E-02	-1.2069478584E-01	-1.9471618158E-02	-1.0194156609E-01	-1.5551046198E+01
-2.9160083906E-01	-3.1222316700E-01	-6.5995003420E-02	-2.9908209218E-01	-2.3029931725E+01
5.7401491710E-01	6.7947205608E-01	1.1114764784E-01	6.1682601693E-01	6.1779643850E+01
-6.5374857642E-01	-8.1440983078E-01	-1.2883205703E-01	-7.3000690043E-01	-7.5989909432E+01
-5.5061944890E-01	-6.3972842615E-01	-1.1541645837E-01	-5.5077711797E-01	-6.6079512245E+01
-3.3934753361E-01	-3.3300623654E-01	-7.4737276556E-02	-3.0335684216E-01	-2.5301587236E+01
-2.0144856754E-01	-1.5957898819E-01	-4.1964315255E-02	-1.4090343659E-01	-6.0942299497E+00
-3.3436292776E-01	-4.5234755854E-01	-5.8926298620E-02	-3.9741706418E-01	-4.6336620234E+01
2.6139293118E-01	2.9733716020E-01	5.6530773403E-02	2.6141327573E-01	2.6554025382E+01
1.4126933443E-01	1.4755172300E-01	4.1566786203E-02	1.5048692240E-01	7.7708459990E+00
1.4869535830E-01	1.6201442359E-01	2.8433611793E-02	1.5094726122E-01	8.3572914735E+00
-3.6741095718E-01	-4.0906156565E-01	-8.1092993203E-02	-3.5223927147E-01	-3.9016779569E+01
-3.2859075230E-01	-3.8145016759E-01	-6.1330942176E-02	-3.4007848483E-01	-3.3993919350E+01
-5.4704725311E-01	-6.1261367119E-01	-1.0479578050E-01	-5.4227239940E-01	-5.3049963979E+01
2.8173828739E-01	3.6975042485E-01	5.7772568140E-02	3.2771473530E-01	3.8450084912E+01
-3.2453887272E-01	-3.5387800887E-01	-6.3644237034E-02	-3.1626740251E-01	-2.8938128374E+01
3.1930456206E-01	3.1833079102E-01	7.4535835699E-02	2.8574825720E-01	2.5930447651E+01
-8.7572316812E-02	-7.1079444662E-02	-2.2681945680E-02	-5.1465510234E-02	-7.0104496095E+00
-2.6238605952E-01	-3.2358979778E-01	-5.7297701442E-02	-2.9603618170E-01	-3.1276651059E+01
-4.4019417175E-01	-5.7896367082E-01	-7.9498817012E-02	-5.0428252077E-01	-5.6672130587E+01
-1.3194238902E-01	-1.6791318635E-01	-2.4736052713E-02	-1.4557465554E-01	-1.7372612624E+01
-1.6717289924E-01	-1.7975597159E-01	-3.8843357652E-02	-1.8907450302E-01	-8.7152052934E+00
-1.2289852524E-01	-1.7845807828E-01	-1.9261916555E-02	-1.7258673415E-01	-1.2182092178E+01
3.6283476198E-01	4.1849076762E-01	7.6129766383E-02	3.6425190914E-01	4.0504537308E+01
7.4172914086E-01	7.9968564122E-01	1.4908274734E-01	7.1289303942E-01	6.6781205984E+01
-4.2078166968E-01	-4.7700195196E-01	-7.8143953978E-02	-4.2128272530E-01	-3.7671470630E+01
-7.2282912794E-01	-8.6803161301E-01	-1.3395522914E-01	-7.7828614228E-01	-7.7931773038E+01
-1.6477978837E-01	-2.0255506995E-01	-3.2632559031E-02	-1.7321410733E-01	-2.1621348902E+01
9.9942678784E-01	1.1948506721E+00	1.9795050298E-01	1.0669960191E+00	1.0944306569E+02
-5.2483061706E-01	-5.9059461507E-01	-1.0750263685E-01	-5.1015990631E-01	-5.8201375050E+01
2.8357583402E-01	3.3501647018E-01	5.7690538987E-02	2.9192616023E-01	3.5034645389E+01
-9.9029677252E-02	-1.1210575265E-01	-7.3980919294E-03	-9.6555444615E-02	-9.3177017900E+00
-5.3883106205E-01	-6.6673682545E-01	-1.0866963836E-01	-5.8354089583E-01	-6.5208303357E+01
2.5916952679E-01	3.0638146856E-01	5.5854794301E-02	2.7893999523E-01	2.4919749839E+01
2.5424379651E-01	3.5264052338E-01	4.5100739634E-02	2.8649066782E-01	3.9247353429E+01
-1.3650264048E-01	-1.4880106281E-01	-2.3707925161E-02	-1.1725881689E-01	-1.9594491828E+01
2.5348208937E-01	3.1710887064E-01	5.0749284409E-02	2.5600637480E-01	3.9508224116E+01
-2.3080337991E-01	-2.8817569152E-01	-5.4306572272E-02	-2.6062935882E-01	-2.9145598156E+01
-5.8498320570E-01	-6.2332788978E-01	-1.1247852297E-01	-5.6741897174E-01	-4.6612082181E+01
9.6313188158E-01	1.0530810242E+00	2.0008794051E-01	9.5427054211E-01	8.4641729027E+01
4.1118284477E-01	4.9088660651E-01	7.5317392370E-02	4.4536614191E-01	4.4509046276E+01
1.7215811022E-01	2.5569475059E-01	2.7158668346E-02	2.0143881270E-01	3.3272668117E+01
1.0262021587E-01	1.3280299128E-01	8.8807972889E-03	1.1072135855E-01	1.4379584158E+01
2.0563739415E-01	2.1668402157E-01	2.5985164422E-02	1.6918624874E-01	2.0089249786E+01
7.4768210837E-01	8.8522027978E-01	1.4729553133E-01	7.7565516289E-01	8.4101769447E+01
-2.5252898977E-01	-2.8900608389E-01	-5.7467992288E-02	-2.5283955549E-01	-2.5185193527E+01
1.9074539914E-02	2.5927063116E-02	1.2736312959E-03	3.3693854853E-03	7.8380119579E+00
-1.2757564553E+00	-1.5112049444E+00	-2.5687659608E-01	-1.3475582671E+00	-1.3977760524E+02
1.6156952619E-01	2.1854344072E-01	3.6788801498E-02	2.0463254245E-01	1.7789792789E+01
-6.0953634280E-01	-7.2569483919E-01	-1.2236038571E-01	-6.3867117352E-01	-7.0369143703E+01
1.1268057340E-01	1.3159765600E-01	1.9349888847E-02	1.0321229114E-01	1.4866034091E+01
1.9827835757E-01	2.2831205571E-01	3.6222193787E-02	1.9621704045E-01	2.0043731430E+01
-3.4300981145E-01	-3.8116506661E-01	-6.1564777254E-02	-3.4118240107E-01	-3.2561321990E+01
-4.5947321473E-01	-5.5407891027E-01	-9.3183558409E-02	-4.8201853329E-01	-5.4783036490E+01
1.7837724791E-02	4.4932051313E-02	6.1885737071E-03	4.3615498190E-02	6.4976598931E+00
-2.9637580252E-01	-3.2389811145E-01	-6.4555449549E-02	-2.8668662923E-01	-2.9836630003E+01
4.2608107195E-01	4.5783149742E-01	8.6728085255E-02	4.4017492689E-01	2.9913645041E+01
-4.0187169815E-01	-4.8195018664E-01	-6.9866915818E-02	-4.0206023676E-01	-5.2127092699E+01
-9.6927515481E-02	-7.3882034043E-02	-2.7747091610E-02	-8.5174033841E-02	1.8820811071E+00
-3.6106707337E-01	-4.1532449423E-01	-7.5660045036E-02	-3.7352579892E-01	-3.4961391802E+01
-2.0003090856E-02	-3.4198504271E-02	7.5512168039E-03	-2.9497112023E-02	-4.1465216449E+00
6.1463520023E-02	2.5873173055E-02	1.3005064428E-02	3.3849136096E-02	-1.1582385017E+00
2.3116124811E-01	2.0798447536E-01	4.3554593527E-02	1.7704339988E-01	1.7654702222E+01
2.0025656816E-03	-2.3630987905E-03	6.6900431186E-03	-7.7943351772E-03	1.4447145361E+00
-5.6187819046E-02	-7.9030707786E-02	-1.4970096877E-02	-7.0033956351E-02	-6.4094212132E+00
6.3394556546E-01	6.9239783562E-01	1.2726265315E-01	6.1769905447E-01	5.7754743783E+01
8.5342255927E-01	9.8565228018E-01	1.6890062232E-01	8.7234914343E-01	8.9074104863E+01
4.6632060604E-01	5.2399826438E-01	9.4821728413E-02	4.6600516380E-01	4.7467597614E+01
5.6727944766E-01	7.4585800796E-01	1.0488343662E-01	6.3271957980E-01	8.1827446353E+01
-1.2709093912E-01	-1.5306052016E-01	-3.0070527406E-02	-1.4413295348E-01	-1.1270665755E+01
5.7689155887E-02	9.7019971278E-02	3.6414435825E-04	7.6038439595E-02	1.4131863717E+01
4.6173032557E-01	5.6242260203E-01	8.2719773665E-02	4.8809371788E-01	5.3130045985E+01
8.1215593600E-02	1.6611939727E-02	2.3285860753E-02	4.2842044001E-02	-1.1217354255E+01
-7.0640722383E-01	-8.1470981229E-01	-1.3917613002E-01	-7.1675439718E-01	-7.2140002290E+01
-4.3496419839E-01	-4.5381771670E-01	-9.3650839219E-02	-4.0718565609E-01	-3.7567839843E+01
-4.5680337569E-01	-5.2094713741E-01	-9.4076568381E-02	-4.3994821250E-01	-5.1264157107E+01
-2.7484441139E-01	-3.1983860769E-01	-5.7813009015E-02	-2.8982469687E-01	-2.7120866188E+01
2.3625621551E-01	2.7070378380E-01	4.8383374675E-02	2.1558071785E-01	3.2251542496E+01
-1.1305203658E+00	-1.3052009632E+00	-2.2476361958E-01	-1.1639912039E+00	-1.1444634558E+02
-1.0263586529E-01	-1.2958519475E-01	-1.7755980946E-02	-8.9495379064E-02	-1.8505529467E+01
4.3168900344E-01	4.8629693591E-01	7.9875204384E-02	4.3606204836E-01	4.0488956522E+01
-3.8629288225E-01	-4.4335848003E-01	-8.6546677234E-02	-3.9924624646E-01	-3.7861818128E+01
-2.6600636595E-01	-3.3084999240E-01	-6.0946900792E-02	-2.8296107276E-01	-3.6023568478E+01
5.4364887020E-01	5.8655579838E-01	1.0102675641E-01	5.0336885741E-01	5.3282939992E+01
4.6448180615E-01	5.3364402681E-01	1.0308950483E-01	4.9239181329E-01	3.9145343116E+01
-2.5539037718E-01	-3.0614101417E-01	-4.9878396148E-02	-2.3944200802E-01	-3.4885508314E+01
3.4202627168E-01	3.0573212984E-01	7.8410669676E-02	2.9276084005E-01	1.3116865824E+01
-2.4098240704E-01	-2.6268290165E-01	-5.0721392270E-02	-2.3361230882E-01	-2.6857972921E+01
3.5837177430E-01	4.1142269236E-01	7.5120711073E-02	3.8252775236E-01	3.3594444303E+01
6.6132800662E-02	9.3093621315E-02	1.5166225304E-02	1.0343631810E-01	4.3134151129E+00
8.1727209381E-02	1.3912531645E-01	1.4648521687E-02	1.0942567042E-01	2.0926106287E+01
-7.4913132268E-01	-8.9486205001E-01	-1.4867683241E-01	-7.6499561474E-01	-8.6941871173E+01
-4.3637764672E-01	-5.2511868003E-01	-8.6085989546E-02	-4.6408025604E-01	-4.7114726978E+01
-8.7730986837E-02	-9.5916554658E-02	-1.9506871488E-02	-8.5923387399E-02	-9.8033501383E+00
-5.5745175494E-02	-2.4977181250E-02	-2.6765478527E-02	-3.1851175215E-02	3.2520099894E+00
-3.9405481235E-01	-4.4856212234E-01	-7.2133679479E-02	-4.0365254448E-01	-3.5841777289E+01
1.0454353243E+00	1.1832706780E+00	2.1861372839E-01	1.0550281923E+00	1.0390978984E+02
-7.6327667613E-02	-1.3963641260E-01	-3.0230375994E-03	-9.6111753538E-02	-2.2890009939E+01
-2.4182646315E-01	-2.9731984658E-01	-4.7256723807E-02	-2.3315246126E-01	-3.9387827221E+01
3.5731962575E-01	4.3799679734E-01	6.8560256369E-02	4.1741600722E-01	3.8127397294E+01
-3.9777296427E-01	-4.9415794823E-01	-7.3211252231E-02	-4.3183229809E-01	-4.8568663553E+01
-3.6500464549E-01	-3.9043848439E-01	-7.4440785596E-02	-3.4936250352E-01	-3.5592629970E+01
3.0385353948E-01	3.3822198887E-01	6.0109840558E-02	2.9142038586E-01	3.1854408757E+01
1.1449804681E-01	1.1751720611E-01	2.0145737266E-02	1.0368386425E-01	1.2204660702E+01
9.0452492543E-02	1.0185350069E-01	9.2584492169E-03	5.9525095308E-02	1.6256164822E+01
1.6188147926E-01	1.4675562159E-01	3.1474974206E-02	1.3097087753E-01	1.1328203319E+01
-9.9840534453E-02	-1.1588670547E-01	-2.0738519844E-02	-1.0691094546E-01	-1.3081162332E+01
6.7811255952E-02	1.2508572665E-01	9.2652312019E-03	7.5300571282E-02	2.2359328201E+01
5.3001705532E-01	6.3938514895E-01	1.0478724177E-01	5.7029375832E-01	5.7906343842E+01
-2.3688695132E-01	-3.1016543923E-01	-4.3691652025E-02	-2.8592978976E-01	-3.0656640426E+01
2.0755148134E-01	2.3058056790E-01	4.2625578693E-02	2.1478667245E-01	1.5807166390E+01
8.1809307057E-01	9.5678439960E-01	1.6277227599E-01	8.3457970378E-01	9.1773660824E+01
2.9156182453E-01	3.3079552296E-01	5.6711471356E-02	2.8618637089E-01	3.3477797828E+01
-1.6609168012E-02	-4.6581912105E-02	8.9694449297E-03	-2.8683033892E-02	-7.2071758627E+00
-1.9652211884E-01	-2.0307898564E-01	-3.4822995242E-02	-1.7670585687E-01	-1.8448630647E+01
1.4290817034E+00	1.6579454799E+00	2.7431065977E-01	1.4574962869E+00	1.5036569251E+02
-2.5488129159E-01	-2.5055537239E-01	-5.7616537911E-02	-2.4076807272E-01	-1.5914916150E+01
3.8199033976E-01	4.1298401968E-01	8.4585079091E-02	3.6862066041E-01	3.5584573744E+01
3.0624027349E-01	3.1222453180E-01	6.5802486847E-02	3.0053086466E-01	1.8836516723E+01
2.3364855239E-01	3.2809266137E-01	4.3678871452E-02	2.8891522683E-01	3.5652880768E+01
8.6403233538E-01	1.0126150558E+00	1.7663933518E-01	9.2802058561E-01	8.7425457126E+01
4.1551557377E-01	5.0234532409E-01	7.7666599180E-02	4.3457347435E-01	5.3410139547E+01
-4.1889617036E-02	-6.1474152910E-02	-1.8368995457E-03	-7.0120300799E-02	-2.2709056555E+00
2.3669527586E-01	2.5035477033E-01	4.0815067093E-02	2.2911856555E-01	2.2272458275E+01
4.9947451403E-01	5.4800435400E-01	1.0490172804E-01	5.0520961009E-01	4.7482580046E+01
3.4535686959E-01	4.1650909917E-01	5.7622312042E-02	3.8256562288E-01	3.5591897840E+01
-5.7427108076E-01	-6.4857948136E-01	-1.1257115573E-01	-5.9490610609E-01	-5.1373298582E+01
8.8158104404E-01	1.0135182524E+00	1.8234511510E-01	8.9307194392E-01	9.1814755466E+01
-8.0852149119E-01	-9.2931510468E-01	-1.7138643578E-01	-8.3070829435E-01	-8.0956045094E+01
-8.2514897662E-02	-1.4093436750E-01	-1.2922574528E-02	-1.2037324687E-01	-1.9618949495E+01
5.0937534793E-01	6.1502993410E-01	9.8243629417E-02	5.4776767929E-01	5.7211829092E+01
1.8221291743E-01	1.3928041220E-01	3.6275770915E-02	1.2710549820E-01	6.4045757613E+00
4.5203957526E-02	5.0347872466E-02	3.8877507821E-03	3.9313191793E-02	7.7678856352E+00
2.3500218624E-01	3.2066143817E-01	4.2792885340E-02	2.8391819350E-01	3.3573257062E+01
1.3216965607E-01	1.7783140645E-01	2.4687268444E-02	1.1582812085E-01	2.9646265499E+01
2.8358461010E-01	3.5243474873E-01	4.6247640582E-02	3.0560038691E-01	3.4738974397E+01
-5.6870454232E-01	-6.7591989659E-01	-1.0973439786E-01	-5.9935038817E-01	-6.2561174656E+01
2.6496266900E-02	4.4095084992E-02	7.6716025820E-03	3.8057174467E-02	2.8128914897E+00
-2.0766538826E-01	-2.5159630858E-01	-3.8865261945E-02	-2.0147659998E-01	-2.9322653483E+01
-2.9933102799E-02	-7.4038318556E-02	5.4841128097E-03	-6.6075737147E-02	-8.5784490538E+00
-2.8029805142E-02	-1.8470849907E-02	-4.1388775214E-03	-5.4161402918E-03	-1.3923503907E+00
-1.3958186503E-01	-1.2385450076E-01	-3.3256258487E-02	-1.1916595290E-01	-6.9737477038E+00
-6.3758616987E-02	-6.5440220083E-02	-1.2983875348E-02	-6.1773407620E-02	-4.0256200838E+00
7.7453071927E-01	8.9988214614E-01	1.5795932418E-01	7.9149530659E-01	8.4366792179E+01
-3.1978297991E-02	-5.4949772641E-02	3.2295370727E-04	-2.9821865514E-02	-1.0015915055E+01
-2.6984580210E-01	-3.2005759129E-01	-5.6070302081E-02	-2.9774441764E-01	-2.7091010198E+01
-1.0434791673E-02	-2.0043533283E-02	-3.7529769057E-03	-9.0576832245E-03	-4.9516944327E+00
1.3887158352E-01	1.4774402382E-01	2.8058904546E-02	1.3731747830E-01	1.3708541774E+01
-6.0256012269E-01	-6.8154299165E-01	-1.1966634989E-01	-6.2526603932E-01	-5.5149562105E+01
-5.4201100235E-01	-5.5087147309E-01	-1.1223845198E-01	-5.0116611975E-01	-3.9644678244E+01
-3.0083096235E-01	-3.6619289941E-01	-5.4425808736E-02	-3.1101381174E-01	-3.7557810986E+01
-5.8699023988E-01	-6.7080596719E-01	-1.1581355598E-01	-5.9605153119E-01	-6.1817774837E+01
-1.7901109913E-01	-1.9987630474E-01	-3.2662824007E-02	-1.9172082507E-01	-1.6581407480E+01
-3.6968293281E-01	-4.3575157091E-01	-7.1196725268E-02	-3.8356216855E-01	-4.3975481147E+01
1.5618737882E-01	2.0258882435E-01	2.4064684667E-02	1.7775354944E-01	1.5981195674E+01
2.3140577819E-02	5.6237385972E-03	1.0442590394E-03	6.5810758257E-03	-2.4519658497E+00
-1.2383707027E-01	-1.3474797073E-01	-2.3570129148E-02	-1.2305813780E-01	-1.0188958734E+01
-7.1762683297E-02	-9.0854613645E-02	-1.2583662738E-02	-8.1081865023E-02	-9.1857274111E+00
4.5010256129E-02	6.1326233262E-02	1.1927229140E-02	5.1074716760E-02	7.9953927917E+00
-1.1396981104E-01	-1.9427201496E-01	-3.1317493790E-02	-1.6806236733E-01	-2.4059789327E+01
6.0128592488E-01	6.8837702543E-01	1.1903609700E-01	5.8518477453E-01	6.7706995345E+01
-8.2629513230E-01	-9.2298438616E-01	-1.6514155208E-01	-8.2235870613E-01	-7.9035450537E+01
-1.1116279285E-01	-1.3608944297E-01	-1.3522432131E-02	-1.1058918858E-01	-1.3846874030E+01
-1.1877237642E-01	-1.6363269515E-01	-2.4270536111E-02	-1.4457822974E-01	-1.7154606621E+01
1.4157903513E-01	1.7639281388E-01	3.3454795092E-02	1.5102501962E-01	1.7923687490E+01
2.1888494776E-01	2.0096470783E-01	4.3461288638E-02	1.6396769943E-01	2.1015311105E+01
-4.8455105765E-01	-5.4609174061E-01	-1.0114928857E-01	-4.9839223453E-01	-4.5386494417E+01
-9.6617941860E-02	-1.4399551476E-01	-1.4081047159E-02	-1.1995528259E-01	-1.9956431467E+01
4.2135167927E-01	4.7993033056E-01	8.6920309961E-02	4.3375631797E-01	4.3239686733E+01
-1.8227225740E-01	-2.3198746565E-01	-4.2089454422E-02	-2.0264017314E-01	-2.7268058405E+01
1.2419356594E-01	1.3396205480E-01	1.9698824618E-02	1.0196257598E-01	1.8440942156E+01
3.0566099408E-01	3.8332566730E-01	6.4390860335E-02	3.3373367420E-01	3.7667789510E+01
3.7284789115E-04	-2.5077214784E-03	4.1370608622E-03	1.1527065416E-02	-3.2059425404E+00
1.0665586858E+00	1.2469326159E+00	2.1178164253E-01	1.1192042352E+00	1.1192622511E+02
-7.1225777784E-02	-1.5091270848E-01	-7.0221548546E-03	-1.2423792660E-01	-2.2805743254E+01
-3.2982753355E-01	-3.8883717792E-01	-7.6905743399E-02	-3.5737031501E-01	-3.3452237297E+01
-2.2553076154E-02	1.1953181886E-02	-1.7707246080E-02	-1.1545001407E-03	5.7750365276E+00
-2.8351286263E-01	-2.9631348449E-01	-6.8121576652E-02	-2.7733912037E-01	-2.2291871551E+01
4.9140229406E-01	5.7133382469E-01	8.1570924324E-02	5.0264048841E-01	5.1675846969E+01
-4.8547073661E-01	-4.9355387955E-01	-1.1198521252E-01	-4.6886145347E-01	-3.2796130275E+01
1.5122841751E-01	1.4240064215E-01	4.3841614731E-02	1.3340089495E-01	1.0391146854E+01
4.1138518421E-01	5.6028472291E-01	5.7925891439E-02	4.6809850514E-01	6.3100182194E+01
-1.1471049589E-01	-1.4908711988E-01	-2.2130648286E-02	-1.3296307428E-01	-1.2393407137E+01
1.0891860262E+00	1.2652796520E+00	2.1566304990E-01	1.1131712968E+00	1.1799506355E+02
1.1705740210E+00	1.3668050092E+00	2.2144603417E-01	1.2077703220E+00	1.2342516515E+02
-6.7786711604E-01	-7.6543716911E-01	-1.5216411203E-01	-6.9171081056E-01	-6.3658479709E+01
5.3460377831E-01	6.1064893741E-01	1.0705356625E-01	5.3368188449E-01	5.7965651316E+01
2.3506932743E-01	2.2934302642E-01	4.9577447108E-02	2.1423558740E-01	1.6179056318E+01
-5.2342025948E-01	-5.9211780880E-01	-1.0248182870E-01	-5.2603443625E-01	-5.0694906402E+01
1.6418773965E-01	2.1283183993E-01	3.8991812191E-02	2.0253335962E-01	2.1289590554E+01
4.2131571462E-01	4.3013576476E-01	8.7886132387E-02	3.8004133956E-01	3.4560555987E+01
4.5057778608E-01	4.8121680048E-01	9.0368628933E-02	4.4442735366E-01	3.5351446805E+01
4.5829551183E-02	5.7595734665E-02	1.2554395431E-02	6.0644426541E-02	1.2570825268E+00
2.0207645589E-01	1.7673822130E-01	5.9733489081E-02	1.6088061094E-01	1.5643365208E+01
7.0535295484E-01	7.8388277582E-01	1.4105366531E-01	6.8853076350E-01	6.8152163923E+01
-2.1648709522E-01	-2.4577715894E-01	-4.4347474266E-02	-2.1964152352E-01	-2.4255527768E+01
7.2058045924E-02	9.9501686963E-02	1.0235206196E-02	6.0557702582E-02	1.7979252510E+01
5.8604373545E-01	7.4334019080E-01	9.9720363533E-02	6.3296499664E-01	7.2617943033E+01
-3.2243358152E-01	-3.9508358067E-01	-5.9060930371E-02	-3.4300885843E-01	-3.6562553277E+01
-2.5060422452E-01	-2.3186603995E-01	-5.4268690059E-02	-2.2027752159E-01	-1.2488962300E+01
5.7428886565E-01	6.1887297411E-01	1.2283708682E-01	5.6203615300E-01	4.9721155171E+01
2.9806779689E-01	3.2894914732E-01	6.3921820938E-02	2.9917077896E-01	2.9148319669E+01
