Hf	deltaHf ref=58.353600225426604
90.24403685560243	31.890436630175827
32.20387304340399	-26.149727182022616
70.76786970539321	12.414269479966606
80.53209626147579	22.178496036049182
70.78254064191493	12.42894041648833
81.20553831979556	22.85193809436896
87.93795340127396	29.584353175847355
76.34699102851006	17.993390803083457
112.74606050216677	54.39246027674017
49.76848232567933	-8.585117899747274
60.492389430671	2.138789205244393
49.658931359460226	-8.694668865966378
55.04469619194494	-3.3089040334816673
18.6475132746789	-39.706086950747704
57.55875210077717	-0.7948481246494339
51.63203354777285	-6.721566677653755
68.44035388963745	10.086753664210846
48.307404284286136	-10.046195941140468
42.83428543810875	-15.519314787317853
38.07287036934282	-20.28072985608378
72.46801195665536	14.114411731228756
70.59418220493605	12.240581979509443
31.440292036809083	-26.91330818861752
62.947766134312374	4.5941659088857705
38.03265724799418	-20.320942977432424
67.40384053263257	9.050240307205968
58.06881618385593	-0.28478404157067416
89.45213433713867	31.09853411171207
63.95519040791329	5.601590182486689
54.4187002242186	-3.934900001208007
78.5351801991135	20.181579973686894
66.67670625128882	8.323106025862216
27.14876253098261	-31.204837694443995
59.249050491941276	0.895450266514672
80.72289687249646	22.36929664706986
63.88131025328836	5.527710027861758
34.10620432832799	-24.247395897098613
59.31458748309957	0.9609872576729686
43.69516847775664	-14.658431747669965
41.34226657978867	-17.011333645637933
41.880506003247106	-16.473094222179498
32.743135832058	-25.610464393368602
67.0182038626415	8.664603637214896
65.24046870627787	6.886868480851263
58.727677474439375	0.37407724901277106
75.75476832746132	17.401168102034717
100.88898956259142	42.535389337164816
48.78375902572658	-9.569841199700022
69.40792087193473	11.054320646508131
91.60967294998478	33.25607272455818
79.09630653190176	20.742706306475156
67.07302230694837	8.71942208152177
49.08584442440112	-9.267755801025487
58.567648106702805	0.21404788127620122
49.36242710167859	-8.991173123748013
72.2700008538384	13.916400628411793
69.93721226976483	11.583612044338224
23.332662285644588	-35.020937939782016
21.456816971673803	-36.8967832537528
32.905251151886446	-25.448349073540157
49.21807039213742	-9.135529833289183
79.92000296149196	21.566402736065356
56.294800957465455	-2.058799267961149
45.52868920987454	-12.824911015552061
62.073027031817006	3.719426806390402
66.89945807302935	8.545857847602747
66.55113438399782	8.197534158571216
103.84783650878741	45.494236283360806
33.11942080902806	-25.234179416398547
36.78862112853018	-21.564979096896423
77.62203189491335	19.268431669486745
29.7667328249088	-28.586867400517804
54.81265856039023	-3.540941665036371
29.320811382182697	-29.032788843243907
49.64748514853342	-8.706115076893184
38.60223046305033	-19.75136976237627
53.75436361011886	-4.5992366153077455
33.611588900836765	-24.74201132458984
42.49473385998205	-15.858866365444555
46.44263483324245	-11.910965392184153
70.76234607829316	12.40874585286656
43.877795316075904	-14.4758049093507
20.708860757397602	-37.644739468029
35.7231770488586	-22.630423176568
68.61026252557419	10.256662300147582
43.268421481196825	-15.08517874422978
78.24213181631855	19.888531590891944
72.86895852650993	14.515358301083324
106.01525630907487	47.66165608364827
79.82723276844696	21.473632543020358
56.88134304993288	-1.4722571754937235
69.08534544899955	10.731745223572943
48.67471995868324	-9.678880266743363
65.48351795381383	7.129917728387227
45.19089460200554	-13.162705623421061
88.78019062412638	30.426590398699773
74.67567931806913	16.322079092642525
55.14009766962842	-3.2135025557981862
39.28580003637104	-19.06780018905556
80.7170584555031	22.363458230076503
62.086637895351274	3.73303766992467
76.05404465961034	17.700444434183737
59.8114514729357	1.4578512475090974
40.509700654075246	-17.843899571351358
37.228730829895326	-21.124869395531277
63.17466668701378	4.821066461587179
77.47055755076578	19.116957325339172
78.5169846133074	20.163384387880797
58.11414465817212	-0.23945556725448114
57.30162299738801	-1.051977228038595
52.65562606863456	-5.697974156792043
73.28858237969031	14.934982154263707
43.89698414753799	-14.456616077888611
70.57223031095852	12.218630085531913
55.35783981985948	-2.9957604055671254
93.9029539939918	35.5493537685652
50.145854789618866	-8.207745435807738
42.864871340447976	-15.488728884978627
80.36546368350606	22.01186345807946
66.56158578247484	8.207985557048232
65.23780332662933	6.884203101202729
38.59947831510068	-19.75412191032592
43.9815681979169	-14.372032027509704
76.29370540990273	17.940105184476124
53.81891824681294	-4.534681978613662
51.598438014433455	-6.755162210993149
54.716982132090166	-3.6366180933364376
77.60823688243978	19.25463665701318
47.92543433225434	-10.428165893172263
